Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AUS,486998.6,486990.8,487651.8,489813.7,495782.4,503549.2,500983.9,507311.1,536324.2,572759.9,596963.5,624780.4,619278.9,539306.3,597431.8,560379,603113.2,606470.8,578946.5,593596.9,566440.8,668341.9,667437.1,580875.3,597268.1,596976.3,574453,623270.5,617394.1,585981.2
BRA,590336.3,611487.5,621448.8,632775.7,649594.9,676200.3,679294,708065.2,732054.7,748826.6,767749.7,792376.5,820652.2,835740.8,880984.5,891000.8,890572.8,914650.6,929708.6,905868.9,991494.8,1010712,1049937,1080708,1118100,1095301,1063567,1079305,1046575,1057259
CHN,3240289,3387708,3516609,3746364,3905933,4309242,4330228,4325695,4443771,4376499,4568808,4761564,5068783,5718044,6503953,7266526,7946143,8555800,8810967,9386580,10218510,11098190,11385460,11878030,11938030,11818470,11800830,12035270,12471090,12705090
IND,1219554,1273252,1298279,1331218,1375475,1440608,1492171,1551532,1581956,1658414,1697226,1719686,1738531,1779369,1866495,1940032,2037300,2180787,2280999,2423802,2533993,2645627,2795864,2863836,3044960,3064543,3106343,3242172,3388915,3394872
IDN,476193.6,495636.9,516351.4,531719.4,552085,586500.3,607886,632996.9,640552.2,660121.3,666469.1,680427.3,681903.2,703789.1,709518.6,705584.7,727469.9,738266,731756,747667.5,768882,829889.6,834256.5,799100.3,844296.7,849513.1,847582.3,893588.3,958076.1,1002369
JPN,1181921,1197373,1210476,1203898,1261685,1277001,1291858,1279894,1233528,1259831,1276561,1254129,1286687,1294592,1286310,1287648,1266297,1302137,1235206,1176710,1234728,1293440,1336090,1348191,1305832,1270472,1261870,1246640,1204368,1166510
MEX,401750.3,420501.9,423431.6,440749.7,467341,446880.3,466070,488979.9,513921.7,503031.6,530237.3,530799.3,539091.6,562955.2,574618.3,597105.3,618008.3,630473.5,634574.1,625072,642911.5,662970.8,672118.6,658478.2,649410.4,667048.8,674001.6,671598.9,654251,653873
RUS,3015019,2951940,2795391,2601070,2363087,2285603,2229070,2090163,2085049,2124197,2176118,2188880,2186665,2259719,2252258,2278875,2316550,2325779,2327754,2191802,2285025,2375293,2354331,2317628,2302335,2287294,2285747,2324573,2419471,2476835
USA,5834140,5788891,5872939,5984362,6078515,6146508,6316455,6578053,6624455,6625276,6787484,6736026,6582638,6645615,6732264,6752838,6660821,6767466,6583848,6158401,6427134,6229603,6011118,6152163,6197425,6082160,5974204,5918762,6121633,6001209
CAN,540382.5,536288.1,550629.6,546631,564717,579707.5,597667.7,611934.9,620147.8,625312.4,644891,636841.3,657762.6,679154.5,676032.2,690539.5,679222.2,712792.9,688188.3,653136.4,669979.2,686500.6,686650.5,698684,706322.4,704481.4,704747.6,721006.2,737993,736928.2
